"Accidents 
(excl. suicide, sabotage, hijackings etc.)",,,,"Accidents 
(incl. suicide, sabotage, hijackings etc.)",,,"Accidents with passenger flights 
(incl. suicide, sabotage, hijackings etc.)",,,"Accidents with passenger + cargo flights
(incl. suicide, sabotage, hijackings etc.)",,,,,,,,,,Corporate jets (civilian),,
Year,Accidents ,Fatalities,,Accidents ,Fatalities,,Accidents ,Fatalities,,Accidents ,Fatalities,,,World air traffic (departures),"1 accident 
per x flights","fatal accidents 
per mln flights","5-year 
moving avg",,,Accidents ,Fatalities,moving 5 year average # of accidents
1946,73,842,,73,842,,53,755,,60,770,7,11.67,,,,,,,,,
1947,82,1083,,84,1093,,54,988,,73,1043,19,26.03,,,,,,,,,
1948,99,1303,,100,1328,,63,1175,,80,1238,17,21.25,,,,,,,,,
1949,81,1109,,84,1155,,61,1076,,72,1110,11,15.28,,,,,,,,,
1950,71,1124,,71,1124,,46,1036,,56,1064,10,17.86,,,,,,,,,
1951,69,948,,69,948,,47,869,,60,918,13,21.67,,,,,,,,,
1952,61,783,,62,784,,33,672,,49,723,16,32.65,,,,,,,,,
1953,74,976,,74,976,,47,882,,61,923,14,22.95,,,,,,,,,
1954,56,707,,57,717,,36,650,,46,681,10,21.74,,,,,,,,,
1955,64,630,,67,748,,41,650,,56,698,15,26.79,,,,,,,,,
1956,58,850,,58,850,,33,770,,44,799,11,25.00,,,,,,,,,
1957,76,977,,76,977,,39,806,,56,870,17,30.36,,,,,,,,,
1958,75,1233,,78,1252,,46,1130,,63,1186,17,26.98,,,,,,,,,
1959,72,1075,,73,1077,,45,958,,61,1024,16,26.23,,,,,,,,,
1960,75,1484,,77,1531,,53,1406,,61,1448,8,13.11,,,,,,,,,
1961,64,1345,,65,1423,,38,1325,,50,1367,12,24.00,,,,,,,,,
1962,73,1770,,75,1817,,43,1657,,58,1728,15,25.86,,,,,,1962,1,3,
1963,57,1263,,58,1265,,36,1153,,47,1199,11,23.40,,,,,,1963,0,0,
1964,49,1016,,52,1079,,31,1018,,43,1049,12,27.91,,,,,,1964,0,0,
1965,58,1159,,61,1263,,36,1159,,50,1229,14,28.00,,,,,,1965,4,12,
1966,63,1467,,64,1497,,36,1380,,48,1420,12,25.00,,,,,,1966,4,10,1.8
1967,66,1342,,67,1408,,39,1271,,51,1330,12,23.53,,,,,,1967,3,7,2.2
1968,66,1398,,66,1398,,40,1304,,55,1367,15,27.27,,,,,,1968,4,15,3
1969,71,1676,,73,1683,,46,1565,,66,1654,20,30.30,,,,,,1969,8,33,4.6
1970,78,1476,,80,1559,,47,1400,,61,1480,14,22.95,9448300,154890,6.46,,,1970,4,11,4.6
1971,52,1445,,56,1499,,38,1429,,47,1469,9,19.15,9504500,202223,4.95,,,1971,3,12,4.4
1972,75,2389,,79,2529,,56,2432,,65,2472,9,13.85,,,,,,1972,7,27,5.2
1973,71,2033,,78,2327,,50,2225,,61,2270,11,18.03,9764900,160080,6.25,,,1973,8,31,6
